
file            [index]  value      size  bind  type  vis   shndx  symbol name 

src\hal\source\HL_errata_SSWF021_45.c.1.obj|[0]     |0x00000000|0|LOCL |NONE |DFLT |UNDEF |
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[26]    |0x0000035c|0|LOCL |FUNC |HIDN |3     |$C$CON1
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[27]    |0x00000360|0|LOCL |FUNC |HIDN |3     |$C$CON2
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[28]    |0x00000364|0|LOCL |FUNC |HIDN |3     |$C$CON3
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[29]    |0x00000368|0|LOCL |FUNC |HIDN |3     |$C$CON4
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[30]    |0x0000036c|0|LOCL |FUNC |HIDN |3     |$C$CON5
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[31]    |0x00000370|0|LOCL |FUNC |HIDN |3     |$C$CON6
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[3]     |0x0000001c|0|LOCL |FUNC |HIDN |3     |$C$L1
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[13]    |0x00000170|0|LOCL |FUNC |HIDN |3     |$C$L10
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[14]    |0x000001c0|0|LOCL |FUNC |HIDN |3     |$C$L11
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[15]    |0x000001e8|0|LOCL |FUNC |HIDN |3     |$C$L12
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[16]    |0x00000224|0|LOCL |FUNC |HIDN |3     |$C$L13
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[17]    |0x00000228|0|LOCL |FUNC |HIDN |3     |$C$L14
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[18]    |0x00000234|0|LOCL |FUNC |HIDN |3     |$C$L15
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[19]    |0x00000284|0|LOCL |FUNC |HIDN |3     |$C$L16
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[20]    |0x000002bc|0|LOCL |FUNC |HIDN |3     |$C$L17
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[21]    |0x0000030c|0|LOCL |FUNC |HIDN |3     |$C$L18
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[22]    |0x00000310|0|LOCL |FUNC |HIDN |3     |$C$L19
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[4]     |0x00000034|0|LOCL |FUNC |HIDN |3     |$C$L2
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[23]    |0x00000338|0|LOCL |FUNC |HIDN |3     |$C$L20
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[24]    |0x0000033c|0|LOCL |FUNC |HIDN |3     |$C$L21
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[25]    |0x00000348|0|LOCL |FUNC |HIDN |3     |$C$L22
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[5]     |0x00000050|0|LOCL |FUNC |HIDN |3     |$C$L3
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[6]     |0x0000005c|0|LOCL |FUNC |HIDN |3     |$C$L4
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[8]     |0x000000a8|0|LOCL |FUNC |HIDN |3     |$C$L5
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[9]     |0x000000fc|0|LOCL |FUNC |HIDN |3     |$C$L6
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[10]    |0x00000124|0|LOCL |FUNC |HIDN |3     |$C$L7
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[11]    |0x00000160|0|LOCL |FUNC |HIDN |3     |$C$L8
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[12]    |0x00000164|0|LOCL |FUNC |HIDN |3     |$C$L9
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[35]    |0x000000c0|0|LOCL |NONE |HIDN |3     |$a
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[34]    |0x00000064|0|LOCL |NONE |HIDN |3     |$a
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[33]    |0x00000000|0|LOCL |NONE |HIDN |3     |$a
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[36]    |0x00000184|0|LOCL |NONE |HIDN |3     |$a
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[37]    |0x00000248|0|LOCL |NONE |HIDN |3     |$a
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[38]    |0x0000035c|0|LOCL |NONE |HIDN |3     |$d
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[48]    |0x00000000|0|LOCL |SECT |HIDN |13    |.debug_abbrev
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[49]    |0x00000000|0|LOCL |SECT |HIDN |14    |.debug_abbrev
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[51]    |0x00000000|0|LOCL |SECT |HIDN |15    |.debug_abbrev
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[53]    |0x00000000|0|LOCL |SECT |HIDN |17    |.debug_abbrev
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[54]    |0x00000000|0|LOCL |SECT |HIDN |19    |.debug_aranges
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[47]    |0x00000000|0|LOCL |SECT |HIDN |12    |.debug_frame
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[41]    |0x00000000|0|LOCL |SECT |HIDN |6     |.debug_info
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[42]    |0x00000000|0|LOCL |SECT |HIDN |7     |.debug_info
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[40]    |0x00000000|0|LOCL |SECT |HIDN |5     |.debug_info
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[39]    |0x00000000|0|LOCL |SECT |HIDN |4     |.debug_info
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[45]    |0x00000000|0|LOCL |SECT |HIDN |10    |.debug_line
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[46]    |0x00000000|0|LOCL |SECT |HIDN |11    |.debug_line
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[43]    |0x00000000|0|LOCL |SECT |HIDN |8     |.debug_line
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[44]    |0x00000000|0|LOCL |SECT |HIDN |9     |.debug_line
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[55]    |0x00000000|0|LOCL |SECT |HIDN |20    |.debug_pubnames
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[56]    |0x00000000|0|LOCL |SECT |HIDN |21    |.debug_pubtypes
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[57]    |0x00000000|0|LOCL |SECT |HIDN |22    |.debug_pubtypes
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[50]    |0x00000000|0|LOCL |SECT |HIDN |16    |.debug_str
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[52]    |0x00000000|0|LOCL |SECT |HIDN |18    |.debug_str
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[32]    |0x00000000|0|LOCL |SECT |HIDN |3     |.text
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[58]    |0x00000000|0|WEAK |FUNC |HIDN |UNDEF |Lib$$Request$$armlib
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[59]    |0x00000000|0|WEAK |FUNC |HIDN |UNDEF |Lib$$Request$$cpplib
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[63]    |0x00000000|0|GLOB |NONE |HIDN |6     |__TI_DW.debug_info.$base_types.c8c38483d660372cd06395436475430b
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[64]    |0x00000000|0|GLOB |NONE |HIDN |7     |__TI_DW.debug_info.HL_errata_SSWF021_45_defs.h.203a7bfdca0f9aee41e7034494473246
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[60]    |0x00000248|276|GLOB |FUNC |HIDN |3     |_errata_SSWF021_45_both_plls
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[61]    |0x00000184|196|GLOB |FUNC |HIDN |3     |_errata_SSWF021_45_pll1
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[62]    |0x000000c0|196|GLOB |FUNC |HIDN |3     |_errata_SSWF021_45_pll2
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[7]     |0x00000064|0|LOCL |FUNC |HIDN |3     |check_frequency
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[2]     |0x00000000|0|LOCL |FUNC |HIDN |3     |disable_plls
src\hal\source\HL_errata_SSWF021_45.c.1.obj|[1]     |0x00000000|0|LOCL |FILE |HIDN |ABS   |{2374EF11-186F-4E7A-B601-FC25F4A00C9B}
