
file            [index]  value      size  bind  type  vis   shndx  symbol name 

src\os\freertos\list.c.1.obj|[0]     |0x00000000|0|LOCL |NONE |DFLT |UNDEF |
src\os\freertos\list.c.1.obj|[2]     |0x00000054|0|LOCL |FUNC |HIDN |14    |$C$L1
src\os\freertos\list.c.1.obj|[3]     |0x0000006c|0|LOCL |FUNC |HIDN |14    |$C$L2
src\os\freertos\list.c.1.obj|[4]     |0x00000070|0|LOCL |FUNC |HIDN |14    |$C$L3
src\os\freertos\list.c.1.obj|[7]     |0x00000000|0|LOCL |NONE |HIDN |14    |$a
src\os\freertos\list.c.1.obj|[8]     |0x00000030|0|LOCL |NONE |HIDN |14    |$a
src\os\freertos\list.c.1.obj|[9]     |0x00000098|0|LOCL |NONE |HIDN |14    |$a
src\os\freertos\list.c.1.obj|[10]    |0x000000a4|0|LOCL |NONE |HIDN |14    |$a
src\os\freertos\list.c.1.obj|[11]    |0x000000c8|0|LOCL |NONE |HIDN |14    |$a
src\os\freertos\list.c.1.obj|[41]    |0x00000000|0|LOCL |SECT |HIDN |44    |.debug_abbrev
src\os\freertos\list.c.1.obj|[42]    |0x00000000|0|LOCL |SECT |HIDN |45    |.debug_abbrev
src\os\freertos\list.c.1.obj|[62]    |0x00000000|0|LOCL |SECT |HIDN |64    |.debug_abbrev
src\os\freertos\list.c.1.obj|[58]    |0x00000000|0|LOCL |SECT |HIDN |60    |.debug_abbrev
src\os\freertos\list.c.1.obj|[44]    |0x00000000|0|LOCL |SECT |HIDN |46    |.debug_abbrev
src\os\freertos\list.c.1.obj|[56]    |0x00000000|0|LOCL |SECT |HIDN |58    |.debug_abbrev
src\os\freertos\list.c.1.obj|[46]    |0x00000000|0|LOCL |SECT |HIDN |48    |.debug_abbrev
src\os\freertos\list.c.1.obj|[54]    |0x00000000|0|LOCL |SECT |HIDN |56    |.debug_abbrev
src\os\freertos\list.c.1.obj|[48]    |0x00000000|0|LOCL |SECT |HIDN |50    |.debug_abbrev
src\os\freertos\list.c.1.obj|[52]    |0x00000000|0|LOCL |SECT |HIDN |54    |.debug_abbrev
